system:index,NDVI_mean,cloud_cover_land,col,date,image_id,lat,lon,lst,max_lat,max_lon,min_lat,min_lon,row,scene_id,tile_id,.geo
4_3,0.4976381473056277,1.2,4.0,2022-09-23,tile_r0_c4_2022-09-23,12.884998666122724,80.21249999998936,42.674122939059984,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220923_20230328_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_4,0.3389432930414909,1.24,4.0,2022-06-03,tile_r0_c4_2022-06-03,12.884998666122724,80.21249999998936,54.61090734050913,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220603_20230414_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_5,0.46590981736128007,4.36,4.0,2022-08-22,tile_r0_c4_2022-08-22,12.884998666122724,80.21249999998936,43.51246642738042,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_6,0.4700728107608828,16.48,4.0,2022-02-03,tile_r0_c4_2022-02-03,12.884998666122724,80.21249999998936,30.9373097588476,12.92,80.225,12.85,80.19999999999999,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_7,0.5197684249590775,18.06,4.0,2022-12-28,tile_r0_c4_2022-12-28,12.884998666122724,80.21249999998936,33.084427952024356,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20221228_20230316_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_8,0.37075988096568424,19.23,4.0,2022-05-02,tile_r0_c4_2022-05-02,12.884998666122724,80.21249999998936,34.511269921123585,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220502_20230418_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_9,0.517354815932799,19.39,4.0,2022-01-10,tile_r0_c4_2022-01-10,12.884998666122724,80.21249999998936,33.5430448658457,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220110_20230502_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
5_0,0.37351961030973485,0.06,5.0,2022-03-31,tile_r0_c5_2022-03-31,12.884998666122343,80.2375000000061,41.15058037350907,12.92,80.25,12.85,80.225,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_1,0.5294588987892992,0.23,5.0,2022-10-25,tile_r0_c5_2022-10-25,12.884998666122343,80.2375000000061,36.922121928351885,12.92,80.25,12.85,80.225,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_2,0.38312658042993625,0.69,5.0,2022-05-26,tile_r0_c5_2022-05-26,12.884998666122343,80.2375000000061,43.77857854453548,12.92,80.25,12.85,80.225,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_3,0.5021050165328377,1.2,5.0,2022-09-23,tile_r0_c5_2022-09-23,12.884998666122343,80.2375000000061,42.99677666608382,12.92,80.25,12.85,80.225,0.0,LC09_L2SP_142051_20220923_20230328_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_4,0.35621106815628106,1.24,5.0,2022-06-03,tile_r0_c5_2022-06-03,12.884998666122343,80.2375000000061,53.531470961967216,12.92,80.25,12.85,80.225,0.0,LC09_L2SP_142051_20220603_20230414_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_5,0.4691318643453588,4.36,5.0,2022-08-22,tile_r0_c5_2022-08-22,12.884998666122343,80.2375000000061,42.89652143650365,12.92,80.25,12.85,80.225,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
5_6,0.47669074881983553,16.48,5.0,2022-02-03,tile_r0_c5_2022-02-03,12.884998666122343,80.2375000000061,32.241275376507744,12.92,80.25,12.85,80.225,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.225,12.85],[80.25,12.85],[80.25,12.92],[80.225,12.92],[80.225,12.85]]]}"
