lat,lon,NDVI_mean,cloud_cover_land,temperature_2m,relativehumidity_2m,windspeed_10m,scene_id_LC08_L2SP_142051_20220203_20220212_02_T1,scene_id_LC08_L2SP_142051_20220526_20220602_02_T1,scene_id_LC09_L2SP_142051_20220110_20230502_02_T1,scene_id_LC09_L2SP_142051_20220331_20230423_02_T1,scene_id_LC09_L2SP_142051_20220502_20230418_02_T1,scene_id_LC09_L2SP_142051_20220603_20230414_02_T1,scene_id_LC09_L2SP_142051_20220822_20230401_02_T1,scene_id_LC09_L2SP_142051_20220923_20230328_02_T1,scene_id_LC09_L2SP_142051_20221025_20230324_02_T1,scene_id_LC09_L2SP_142051_20221228_20230316_02_T1,image_id,label_class,lst
3.716138508025324e-12,0.4444444443650468,0.6162641901983349,0.06104500775995861,0.8784860557768925,0.21216216216216255,0.2996136283807517,False,False,False,False,False,True,False,False,False,False,tile_r0_c4_2022-06-03,2,54.61090734050913
3.716138508025324e-12,0.4444444443650468,0.6545309726170798,0.2224521469218831,0.5448207171314743,0.5527027027027027,0.22936424306287317,False,False,False,False,False,False,True,False,False,False,tile_r0_c4_2022-08-22,2,43.51246642738042
3.716138508025324e-12,0.4444444443650468,0.655785668399978,0.8494568028970512,0.09213147410358591,0.4445945945945948,0.1726378644186864,True,False,False,False,False,False,False,False,False,False,tile_r0_c4_2022-02-03,1,30.9373097588476
3.716138508025324e-12,0.4444444443650468,0.6707635632890154,0.9311950336264873,0.11852589641434275,0.9270270270270271,0.028977871443624903,False,False,False,False,False,False,False,False,False,True,tile_r0_c4_2022-12-28,1,33.08442795202436
3.716138508025324e-12,0.4444444443650468,0.6258534772480097,0.991722710812209,0.8002988047808768,0.6567567567567569,0.2771338250790306,False,False,False,False,True,False,False,False,False,False,tile_r0_c4_2022-05-02,1,34.511269921123585
3.716138508025324e-12,0.4444444443650468,0.6700361191698089,1.0,0.18077689243027883,0.6040540540540542,0.08043554618897092,False,False,True,False,False,False,False,False,False,False,tile_r0_c4_2022-01-10,1,33.5430448658457
2.3590018827235326e-12,0.5555555555497449,0.6266852395011641,0.0,0.6653386454183274,0.567567567567568,0.47137337548296476,False,False,False,True,False,False,False,False,False,False,tile_r0_c5_2022-03-31,2,41.15058037350907
2.3590018827235326e-12,0.5555555555497449,0.6736842012727854,0.008794619762027936,0.24800796812749004,0.28648648648648667,0.057780119423955056,False,False,False,False,False,False,False,False,True,False,tile_r0_c5_2022-10-25,2,36.922121928351885
2.3590018827235326e-12,0.5555555555497449,0.6295807100770711,0.03259182617692705,0.7768924302788842,0.3378378378378377,0.2557077625570776,False,True,False,False,False,False,False,False,False,False,tile_r0_c5_2022-05-26,2,43.77857854453548
2.3590018827235326e-12,0.5555555555497449,0.6654399410929954,0.058975685463010866,0.6414342629482075,0.3013513513513515,0.1492799438004918,False,False,False,False,False,False,False,True,False,False,tile_r0_c5_2022-09-23,2,42.99677666608382
2.3590018827235326e-12,0.5555555555497449,0.6214685714060081,0.06104500775995861,0.8819721115537855,0.21216216216216255,0.2996136283807517,False,False,False,False,False,True,False,False,False,False,tile_r0_c5_2022-06-03,2,53.531470961967216
2.3590018827235326e-12,0.5555555555497449,0.6555020740278121,0.2224521469218831,0.5488047808764942,0.5527027027027027,0.22936424306287317,False,False,False,False,False,False,True,False,False,False,tile_r0_c5_2022-08-22,2,42.89652143650365
2.3590018827235326e-12,0.5555555555497449,0.657780266559764,0.8494568028970512,0.09711155378486014,0.4445945945945948,0.1726378644186864,True,False,False,False,False,False,False,False,False,False,tile_r0_c5_2022-02-03,1,32.241275376507744
2.3590018827235326e-12,0.5555555555497449,0.6672474511526884,0.9311950336264873,0.12201195219123528,0.9270270270270271,0.028977871443624903,False,False,False,False,False,False,False,False,False,True,tile_r0_c5_2022-12-28,1,34.00311381096228
